,intraday,overnight,monthly,seasonal,longterm
347,0j,0j,(629309.1361610632+2323948.508012756j),0j,0j
348,0j,0j,(3077585.7678732323-4042911.8041142207j),0j,0j
349,0j,0j,(2005189.694327561-910089.7187026097j),0j,0j
350,0j,0j,(-2697687.7079619276-1104479.440907916j),0j,0j
351,0j,0j,(-1318799.9049009131-2394713.6180534423j),0j,0j
352,0j,0j,(-2043533.5961400028-3874188.274263712j),0j,0j
353,0j,0j,(-1678966.7745527143-1006203.251160227j),0j,0j
354,0j,0j,(515722.65633783187-1697060.9324303102j),0j,0j
355,0j,0j,(1799723.0909171724+2063146.0420207581j),0j,0j
356,0j,0j,(-742001.5467280352+5652800.016766727j),0j,0j
357,0j,0j,(3162274.718931636+588798.1845819291j),0j,0j
358,0j,0j,(5054591.29869529-4375640.351753707j),0j,0j
359,0j,0j,(-406657.7003964387-4440767.181749392j),0j,0j
360,0j,0j,(-2069545.8084346368+60177.500167991035j),0j,0j
361,0j,0j,(-2037529.1323040058-2338817.424108279j),0j,0j
362,0j,0j,(-459306.687383049-2595740.410527919j),0j,0j
363,0j,0j,(797859.2275161422+3016924.9599496117j),0j,0j
364,0j,0j,(-1668133.6882707304-70792.1139338791j),0j,0j
365,0j,0j,(-347515.4864823732+1754561.4191534324j),0j,0j
366,0j,0j,(1417600.852106458+1816746.527148358j),0j,0j
367,0j,0j,(-1852664.9606038395-5174426.799003739j),0j,0j
368,0j,0j,(1399683.9565194082-853353.922721687j),0j,0j
369,0j,0j,(1966651.1499735396-82479.54154017934j),0j,0j
370,0j,0j,(-1825775.7949758065+83936.31567375502j),0j,0j
371,0j,0j,(-636197.3027137899+5530038.752281249j),0j,0j
372,0j,0j,(4963132.616153795-253365.71842352953j),0j,0j
373,0j,0j,(-3037027.832583195+48973.48273958522j),0j,0j
374,0j,0j,(-2027072.6690580524+2436860.4790435014j),0j,0j
375,0j,0j,(1644388.061430413-159857.65500856753j),0j,0j
376,0j,0j,(3891598.1150324102+474976.412473729j),0j,0j
377,0j,0j,(2297592.106879412+2359146.1421617195j),0j,0j
378,0j,0j,(2890815.0623793676+1242828.2216491303j),0j,0j
379,0j,0j,(-73344.85042872079-420396.893068208j),0j,0j
380,0j,0j,(-951809.9786463237-241055.1276443515j),0j,0j
381,0j,0j,(-2245490.3296212833-1229098.2908675855j),0j,0j
382,0j,0j,(1778588.5884076671-3070784.9909926597j),0j,0j
383,0j,0j,(1419604.8410867704-1162894.5983130867j),0j,0j
384,0j,0j,(2391102.824235295-100304.46489572944j),0j,0j
385,0j,0j,(-1388463.2352120592+1669131.9731949426j),0j,0j
386,0j,0j,(1866916.9293870667+1497172.6623539797j),0j,0j
387,0j,0j,(-77981.50625805848-463231.6748012507j),0j,0j
388,0j,0j,(-108416.16071913787-2648402.903254459j),0j,0j
389,0j,0j,(1523830.8770609517-1152123.9900565853j),0j,0j
390,0j,0j,(-2545622.892097681-1042356.4745695872j),0j,0j
391,0j,0j,(-487319.8921558107+3500767.365046327j),0j,0j
392,0j,0j,(2991166.2015625797-1299320.9068109053j),0j,0j
393,0j,0j,(-947317.7390986402-2456195.4892514697j),0j,0j
394,0j,0j,(1246103.8865043074+1055650.2975570932j),0j,0j
395,0j,0j,(-1351297.8116854136+99375.34285831585j),0j,0j
396,0j,0j,(-2873255.942644383+2196262.6699780934j),0j,0j
397,0j,0j,(1631589.3323671403-285144.42011408694j),0j,0j
398,0j,0j,(1177787.5841763061+2124805.892576142j),0j,0j
399,0j,0j,(1262470.0527864287-1111692.9634415666j),0j,0j
400,0j,0j,(267982.2174609081+386349.34404990263j),0j,0j
401,0j,0j,(36861.85003365725-1188959.7836147202j),0j,0j
402,0j,0j,(-5312064.836668627+1786457.0875972265j),0j,0j
403,0j,0j,(203075.27712587971+428501.6758072124j),0j,0j
404,0j,0j,(2223367.1879039053+2902474.301342708j),0j,0j
405,0j,0j,(3287921.9410188342+2782597.355583402j),0j,0j
406,0j,0j,(3045665.8142226627-1265.922334781615j),0j,0j
407,0j,0j,(1630319.2892549273+2928957.8058757135j),0j,0j
408,0j,0j,(2535770.7952961996-1136148.4783800268j),0j,0j
409,0j,0j,(-576887.5720314448-1122094.1246722792j),0j,0j
410,0j,0j,(-4791051.885758204-562119.3138342104j),0j,0j
411,0j,0j,(3487523.1873401385+1262839.994660193j),0j,0j
412,0j,0j,(958387.6146315223+1958257.1231933825j),0j,0j
413,0j,0j,(969854.6844196584-154849.20785466113j),0j,0j
414,0j,0j,(518095.44913915696+1985032.666874047j),0j,0j
415,0j,0j,(-837216.0569542488-690442.7713388372j),0j,0j
416,0j,0j,(1430471.552140718+1649638.362937231j),0j,0j
417,0j,0j,(1528116.2222966142-604838.8350829401j),0j,0j
418,0j,0j,(-126276.70067719492-1428561.6977920067j),0j,0j
