Magnitude,Cleaned,Frequency [1/hour],intraday,overnight,monthly,seasonal
688970.245592733,0,0.427860412496612,10859728411.3432,0,0,0
1966614.60173762,0,0.427871827891412,10859728411.3432,0,0,0
999091.12731361,0,0.427883243286212,10859728411.3432,0,0,0
855075.767499115,0,0.427894658681012,10859728411.3432,0,0,0
168682.71281652,0,0.427906074075812,10859728411.3432,0,0,0
707303.998310754,0,0.427917489470612,10859728411.3432,0,0,0
1075750.73718962,0,0.427928904865412,10859728411.3432,0,0,0
264554.452156073,0,0.427940320260211,10859728411.3432,0,0,0
855027.453532483,0,0.427951735655011,10859728411.3432,0,0,0
735241.620451267,0,0.427963151049811,10859728411.3432,0,0,0
1548402.46127739,0,0.427974566444611,10859728411.3432,0,0,0
795476.701743078,0,0.427985981839411,10859728411.3432,0,0,0
659413.88883488,0,0.427997397234211,10859728411.3432,0,0,0
749753.50050984,0,0.428008812629011,10859728411.3432,0,0,0
1642061.11082381,0,0.428020228023811,10859728411.3432,0,0,0
710230.074073513,0,0.428031643418611,10859728411.3432,0,0,0
1345292.05553224,0,0.428043058813411,10859728411.3432,0,0,0
713932.962525,0,0.428054474208211,10859728411.3432,0,0,0
1584234.22659121,0,0.428065889603011,10859728411.3432,0,0,0
1552322.7706447,0,0.428077304997811,10859728411.3432,0,0,0
317543.405586581,0,0.428088720392611,10859728411.3432,0,0,0
150349.452707339,0,0.428100135787411,10859728411.3432,0,0,0
317289.440387204,0,0.428111551182211,10859728411.3432,0,0,0
1135544.84947079,0,0.42812296657701,10859728411.3432,0,0,0
1126918.86297686,0,0.42813438197181,10859728411.3432,0,0,0
112176.664698326,0,0.42814579736661,10859728411.3432,0,0,0
907253.212670294,0,0.42815721276141,10859728411.3432,0,0,0
1825604.13297054,0,0.42816862815621,10859728411.3432,0,0,0
94508.6702945257,0,0.42818004355101,10859728411.3432,0,0,0
346137.75301438,0,0.42819145894581,10859728411.3432,0,0,0
431522.239178206,0,0.42820287434061,10859728411.3432,0,0,0
205639.371537643,0,0.42821428973541,10859728411.3432,0,0,0
1565210.26339798,0,0.42822570513021,10859728411.3432,0,0,0
1566522.56955581,0,0.42823712052501,10859728411.3432,0,0,0
1034267.64153215,0,0.42824853591981,10859728411.3432,0,0,0
918224.904353324,0,0.42825995131461,10859728411.3432,0,0,0
1671731.79943055,0,0.42827136670941,10859728411.3432,0,0,0
867931.81451965,0,0.42828278210421,10859728411.3432,0,0,0
618476.209468643,0,0.42829419749901,10859728411.3432,0,0,0
1584777.15030314,0,0.42830561289381,10859728411.3432,0,0,0
1377760.82791792,0,0.42831702828861,10859728411.3432,0,0,0
1460787.67874635,0,0.428328443683409,10859728411.3432,0,0,0
1238895.45267287,0,0.428339859078209,10859728411.3432,0,0,0
251392.819229876,0,0.428351274473009,10859728411.3432,0,0,0
462429.082911703,0,0.428362689867809,10859728411.3432,0,0,0
2066811.87875164,0,0.428374105262609,10859728411.3432,0,0,0
1627384.58437137,0,0.428385520657409,10859728411.3432,0,0,0
499476.86142088,0,0.428396936052209,10859728411.3432,0,0,0
1683089.76285078,0,0.428408351447009,10859728411.3432,0,0,0
461215.726556137,0,0.428419766841809,10859728411.3432,0,0,0
123795.562558324,0,0.428431182236609,10859728411.3432,0,0,0
808251.410353126,0,0.428442597631409,10859728411.3432,0,0,0
1028282.96297748,0,0.428454013026209,10859728411.3432,0,0,0
342652.697154716,0,0.428465428421009,10859728411.3432,0,0,0
1153812.95532403,0,0.428476843815809,10859728411.3432,0,0,0
495866.018562726,0,0.428488259210609,10859728411.3432,0,0,0
1913994.52903074,0,0.428499674605409,10859728411.3432,0,0,0
626996.752725153,0,0.428511090000209,10859728411.3432,0,0,0
138600.403769822,0,0.428522505395008,10859728411.3432,0,0,0
328933.933575933,0,0.428533920789808,10859728411.3432,0,0,0
1449009.86195744,0,0.428545336184608,10859728411.3432,0,0,0
630900.552207764,0,0.428556751579408,10859728411.3432,0,0,0
762730.532477306,0,0.428568166974208,10859728411.3432,0,0,0
482707.087595484,0,0.428579582369008,10859728411.3432,0,0,0
1311957.56860395,0,0.428590997763808,10859728411.3432,0,0,0
650336.539747136,0,0.428602413158608,10859728411.3432,0,0,0
379880.226621682,0,0.428613828553408,10859728411.3432,0,0,0
723071.935108525,0,0.428625243948208,10859728411.3432,0,0,0
1480226.4170941,0,0.428636659343008,10859728411.3432,0,0,0
1359618.0785913,0,0.428648074737808,10859728411.3432,0,0,0
1214040.43595909,0,0.428659490132608,10859728411.3432,0,0,0
590613.726960178,0,0.428670905527408,10859728411.3432,0,0,0
1139284.58794197,0,0.428682320922208,10859728411.3432,0,0,0
1810911.91454538,0,0.428693736317008,10859728411.3432,0,0,0
270244.596329592,0,0.428705151711807,10859728411.3432,0,0,0
899786.956043719,0,0.428716567106607,10859728411.3432,0,0,0
990724.076415649,0,0.428727982501407,10859728411.3432,0,0,0
34658.6642874645,0,0.428739397896207,10859728411.3432,0,0,0
915635.02598865,0,0.428750813291007,10859728411.3432,0,0,0
1087312.75161882,0,0.428762228685807,10859728411.3432,0,0,0
1610716.20522703,0,0.428773644080607,10859728411.3432,0,0,0
1551175.41165656,0,0.428785059475407,10859728411.3432,0,0,0
1073343.48448043,0,0.428796474870207,10859728411.3432,0,0,0
341365.521923646,0,0.428807890265007,10859728411.3432,0,0,0
949018.072879782,0,0.428819305659807,10859728411.3432,0,0,0
71140.5183125214,0,0.428830721054607,10859728411.3432,0,0,0
652381.045824315,0,0.428842136449407,10859728411.3432,0,0,0
375233.341650123,0,0.428853551844207,10859728411.3432,0,0,0
481320.271849458,0,0.428864967239007,10859728411.3432,0,0,0
2235033.81263948,0,0.428876382633807,10859728411.3432,0,0,0
1300467.27878119,0,0.428887798028607,10859728411.3432,0,0,0
490052.343331374,0,0.428899213423407,10859728411.3432,0,0,0
662721.97680101,0,0.428910628818206,10859728411.3432,0,0,0
1024901.1340815,0,0.428922044213006,10859728411.3432,0,0,0
683439.622342542,0,0.428933459607806,10859728411.3432,0,0,0
931904.827407626,0,0.428944875002606,10859728411.3432,0,0,0
675275.884886634,0,0.428956290397406,10859728411.3432,0,0,0
1150333.86630691,0,0.428967705792206,10859728411.3432,0,0,0
2064502.37382805,0,0.428979121187006,10859728411.3432,0,0,0
890681.632807332,0,0.428990536581806,10859728411.3432,0,0,0
1630806.59982557,0,0.429001951976606,10859728411.3432,0,0,0
195721.418083884,0,0.429013367371406,10859728411.3432,0,0,0
1446847.60412437,0,0.429024782766206,10859728411.3432,0,0,0
1674344.85408929,0,0.429036198161006,10859728411.3432,0,0,0
1059962.59222835,0,0.429047613555806,10859728411.3432,0,0,0
524295.886923686,0,0.429059028950606,10859728411.3432,0,0,0
1419225.70076106,0,0.429070444345406,10859728411.3432,0,0,0
784370.179397544,0,0.429081859740206,10859728411.3432,0,0,0
1351255.86658746,0,0.429093275135006,10859728411.3432,0,0,0
793845.606288671,0,0.429104690529806,10859728411.3432,0,0,0
1549969.87777558,0,0.429116105924605,10859728411.3432,0,0,0
1032378.19253473,0,0.429127521319405,10859728411.3432,0,0,0
458450.947695272,0,0.429138936714205,10859728411.3432,0,0,0
1401743.58278859,0,0.429150352109005,10859728411.3432,0,0,0
1444337.75466095,0,0.429161767503805,10859728411.3432,0,0,0
691671.477501823,0,0.429173182898605,10859728411.3432,0,0,0
405756.117134563,0,0.429184598293405,10859728411.3432,0,0,0
1118879.65764868,0,0.429196013688205,10859728411.3432,0,0,0
1392630.30284742,0,0.429207429083005,10859728411.3432,0,0,0
426299.419876812,0,0.429218844477805,10859728411.3432,0,0,0
851759.429152786,0,0.429230259872605,10859728411.3432,0,0,0
867925.162457289,0,0.429241675267405,10859728411.3432,0,0,0
293748.648892718,0,0.429253090662205,10859728411.3432,0,0,0
695053.482653298,0,0.429264506057005,10859728411.3432,0,0,0
404521.967829787,0,0.429275921451805,10859728411.3432,0,0,0
1319965.31745539,0,0.429287336846605,10859728411.3432,0,0,0
1605403.58240283,0,0.429298752241404,10859728411.3432,0,0,0
468120.006187857,0,0.429310167636204,10859728411.3432,0,0,0
377007.041535854,0,0.429321583031004,10859728411.3432,0,0,0
559157.090802546,0,0.429332998425804,10859728411.3432,0,0,0
334256.513161358,0,0.429344413820604,10859728411.3432,0,0,0
740533.403926959,0,0.429355829215404,10859728411.3432,0,0,0
921232.118420647,0,0.429367244610204,10859728411.3432,0,0,0
379608.501950877,0,0.429378660005004,10859728411.3432,0,0,0
679820.286964508,0,0.429390075399804,10859728411.3432,0,0,0
1236232.9249914,0,0.429401490794604,10859728411.3432,0,0,0
905199.65978292,0,0.429412906189404,10859728411.3432,0,0,0
1109650.43592715,0,0.429424321584204,10859728411.3432,0,0,0
1319739.15557938,0,0.429435736979004,10859728411.3432,0,0,0
1821709.8600005,0,0.429447152373804,10859728411.3432,0,0,0
792140.902312351,0,0.429458567768604,10859728411.3432,0,0,0
1120681.06129874,0,0.429469983163404,10859728411.3432,0,0,0
544189.063634916,0,0.429481398558204,10859728411.3432,0,0,0
1239864.83909625,0,0.429492813953003,10859728411.3432,0,0,0
1754748.69610883,0,0.429504229347803,10859728411.3432,0,0,0
1312169.52988799,0,0.429515644742603,10859728411.3432,0,0,0
1034050.56205334,0,0.429527060137403,10859728411.3432,0,0,0
1159896.88862876,0,0.429538475532203,10859728411.3432,0,0,0
820313.581316737,0,0.429549890927003,10859728411.3432,0,0,0
875258.021192298,0,0.429561306321803,10859728411.3432,0,0,0
999085.494677484,0,0.429572721716603,10859728411.3432,0,0,0
332326.851814571,0,0.429584137111403,10859728411.3432,0,0,0
649006.1882375,0,0.429595552506203,10859728411.3432,0,0,0
642490.567437082,0,0.429606967901003,10859728411.3432,0,0,0
446203.670896692,0,0.429618383295803,10859728411.3432,0,0,0
1819442.10335022,0,0.429629798690603,10859728411.3432,0,0,0
990816.104312159,0,0.429641214085403,10859728411.3432,0,0,0
1772898.59959114,0,0.429652629480203,10859728411.3432,0,0,0
971468.780681633,0,0.429664044875003,10859728411.3432,0,0,0
164514.450924747,0,0.429675460269803,10859728411.3432,0,0,0
712442.797045903,0,0.429686875664603,10859728411.3432,0,0,0
1280262.48655834,0,0.429698291059402,10859728411.3432,0,0,0
1300745.99702986,0,0.429709706454202,10859728411.3432,0,0,0
450131.134356084,0,0.429721121849002,10859728411.3432,0,0,0
139373.931221045,0,0.429732537243802,10859728411.3432,0,0,0
1210447.58364733,0,0.429743952638602,10859728411.3432,0,0,0
495498.495057576,0,0.429755368033402,10859728411.3432,0,0,0
526027.257459738,0,0.429766783428202,10859728411.3432,0,0,0
161313.460111925,0,0.429778198823002,10859728411.3432,0,0,0
1048810.70977266,0,0.429789614217802,10859728411.3432,0,0,0
